variant,max_positions,risk_config,risk_policy,extension_policy,entry_limit,entry_decision,start,end,final,cagr,maxdd,calmar,trades,round_trips,win_rate,avg_trade,risk_events
turbo,2,risk_balanced,half_elevated,none,none,full_two,2018-01-02,2026-05-06,43.73528043822436,0.5730929515798846,-0.3577907283497027,1.6017546184700087,282,140,0.4357142857142857,0.05411634724861647,661
turbo,2,risk_balanced,half_elevated,none,1,full_top_one,2018-01-02,2026-05-06,35.77264898337128,0.5356364925525374,-0.407863526410675,1.3132738229042051,270,134,0.4701492537313433,0.05714605855805478,661
turbo,2,risk_balanced,half_elevated,half_stretched,none,half_stretched_two,2018-01-02,2026-05-06,27.985812443661978,0.4910914931509316,-0.341182989678128,1.439378597433088,282,140,0.4357142857142857,0.05411634724861647,661
turbo,2,risk_balanced,half_elevated,half_stretched,1,half_stretched_top_one,2018-01-02,2026-05-06,25.13751744299568,0.47202288015800264,-0.3176776809003523,1.4858547154468325,270,134,0.4701492537313433,0.05714605855805478,661
turbo,2,risk_balanced,half_elevated,skip_stretched,none,skip_stretched_two,2018-01-02,2026-05-06,11.743255575107497,0.34363031730299753,-0.2931733076804155,1.1721064240868224,332,117,0.42735042735042733,0.059439185341291,661
turbo,2,risk_balanced,half_elevated,skip_stretched,1,skip_stretched_top_one,2018-01-02,2026-05-06,7.953364182776152,0.28229006879040286,-0.28862243413526645,0.978060037627235,327,110,0.44545454545454544,0.06346602870091467,661
