Date,Ticker,Side,Price,Reason
2018-01-08,MELI,buy,328.1199951171875,turbo_momentum
2018-01-08,MRVL,buy,21.836060388334563,turbo_momentum
2018-02-01,MRVL,sell,21.48432731628418,sma50_exit
2018-02-05,NFLX,buy,26.200000762939453,turbo_momentum
2018-02-05,MELI,sell,361.5325241088867,stop
2018-02-12,SHOP,buy,12.329999923706055,turbo_momentum
2018-03-23,NFLX,sell,30.04399871826172,stop
2018-03-26,PANW,buy,30.816667556762695,turbo_momentum
2018-03-26,SHOP,sell,13.89567494392395,stop
2018-03-28,PANW,sell,29.275298254830496,stop
2018-04-02,PANW,buy,29.99333381652832,turbo_momentum
2018-04-02,INTC,buy,43.68794428164734,turbo_momentum
2018-06-07,PANW,sell,33.122084617614746,stop
2018-06-11,AMD,buy,15.210000038146973,turbo_momentum
2018-06-18,INTC,sell,45.94198956287255,stop
2018-06-25,NFLX,buy,40.46900177001953,turbo_momentum
2018-06-25,AMD,sell,14.674999475479126,stop
2018-07-02,TSLA,buy,24.004667282104492,turbo_momentum
2018-07-03,TSLA,sell,21.2656192779541,stop
2018-07-09,AMD,buy,16.729999542236328,turbo_momentum
2018-07-17,NFLX,sell,37.46549987792969,stop
2018-07-23,META,buy,208.94035941549492,turbo_momentum
2018-07-26,META,sell,204.59196623359648,stop
2018-07-30,QCOM,buy,51.52296188294294,turbo_momentum
2018-10-03,AMD,sell,27.994799499511718,stop
2018-10-05,QCOM,sell,58.944421587821566,stop
2018-10-08,AAPL,buy,52.58819715632624,turbo_momentum
2018-10-08,CSCO,buy,38.461172106883936,turbo_momentum
2018-10-10,AAPL,sell,51.20372772216797,sma50_exit
2018-10-10,CSCO,sell,37.062803384513934,stop
2018-10-15,SBUX,buy,47.87231368449822,turbo_momentum
2018-10-22,WMT,buy,28.952004435074368,turbo_momentum
2018-10-29,SBUX,sell,49.834081372955445,weekly_rotation
2018-10-29,WMT,sell,29.597430599188815,weekly_rotation
2019-02-19,MDB,buy,100.4000015258789,turbo_momentum
2019-02-19,LRCX,buy,16.48146892156429,turbo_momentum
2019-02-26,MDB,sell,97.54924774169922,stop
2019-03-04,PANW,buy,41.17166519165039,turbo_momentum
2019-03-06,LRCX,sell,15.575601897661365,stop
2019-03-18,ZS,buy,67.38999938964844,turbo_momentum
2019-04-04,ZS,sell,62.26175117492676,stop
2019-04-08,MDB,buy,134.8300018310547,turbo_momentum
2019-04-18,PANW,sell,38.596248626708984,stop
2019-04-18,MDB,sell,124.52175903320312,stop
2019-04-22,SHOP,buy,22.0,turbo_momentum
2019-04-22,LRCX,buy,17.989491160315474,turbo_momentum
2019-05-09,LRCX,sell,17.743185165493397,stop
2019-05-13,QCOM,buy,70.6412880704412,turbo_momentum
2019-05-20,QCOM,sell,66.10104401056124,stop
2019-05-28,MELI,buy,596.0,turbo_momentum
2019-06-03,SHOP,sell,27.42799949645996,weekly_rotation
2019-06-03,MELI,sell,567.5900268554688,weekly_rotation
2019-06-10,SHOP,buy,30.915000915527344,turbo_momentum
2019-06-10,AMD,buy,33.529998779296875,turbo_momentum
2019-06-17,AMD,sell,29.851427963801793,stop
2019-06-24,MELI,buy,633.8800048828125,turbo_momentum
2019-06-25,SHOP,sell,29.95562505722046,stop
2019-07-01,SHOP,buy,30.860000610351562,turbo_momentum
2019-08-02,MELI,sell,614.7100219726562,sma50_exit
2019-08-05,SBUX,buy,81.49113534692565,turbo_momentum
2019-09-09,SHOP,sell,36.04390048980713,stop
2019-09-10,SBUX,sell,80.40000066476651,stop
2019-09-16,KLAC,buy,137.60904687740475,turbo_momentum
2019-09-16,NVDA,buy,4.4495830874231705,turbo_momentum
2019-11-21,KLAC,sell,155.77949450953608,stop
2019-11-25,TSLA,buy,22.954666137695312,turbo_momentum
2019-12-03,NVDA,sell,5.0180032546702655,stop
2019-12-09,REGN,buy,370.5864462608199,turbo_momentum
2020-01-21,REGN,sell,368.6569180612119,stop
2020-01-27,AMD,buy,48.45000076293945,turbo_momentum
2020-02-05,TSLA,sell,53.37417030334473,stop
2020-02-10,TSLA,buy,53.33333206176758,turbo_momentum
2020-02-24,AMD,sell,52.185001373291016,stop
2020-02-27,TSLA,sell,51.647972640991206,stop
