Date,Value
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0243276923826679
2018-01-09,1.022997577817558
2018-01-10,1.0227143647403973
2018-01-11,1.0309463026915493
2018-01-12,1.0410747808690421
2018-01-16,1.03800352811233
2018-01-17,1.067660359743222
2018-01-18,1.0571725143340118
2018-01-19,1.0643338022204918
2018-01-22,1.0869617443064148
2018-01-23,1.0938498536250458
2018-01-24,1.0611632158132422
2018-01-25,1.0679594969321133
2018-01-26,1.1011790326467579
2018-01-29,1.1336713604196669
2018-01-30,1.1167631354304446
2018-01-31,1.1017780212860908
2018-02-01,1.079164515446477
2018-02-02,1.06783181780179
2018-02-05,1.034116445658086
2018-02-06,1.034116445658086
2018-02-07,1.034116445658086
2018-02-08,1.034116445658086
2018-02-09,1.034116445658086
2018-02-12,1.054667024738186
2018-02-13,1.049082306500451
2018-02-14,1.0931770911112664
2018-02-15,1.1090353004560987
2018-02-16,1.1059199986649224
2018-02-20,1.122462645416467
2018-02-21,1.0939419335396834
2018-02-22,1.0949942052075323
2018-02-23,1.1118508466536894
2018-02-26,1.1179934519853347
2018-02-27,1.1187252205073197
2018-02-28,1.121244555752838
2018-03-01,1.1159521028516857
2018-03-02,1.1265677023773064
2018-03-05,1.1488597966209881
2018-03-06,1.166320936813304
2018-03-07,1.1689829937624239
2018-03-08,1.1764488911018491
2018-03-09,1.1967587674392823
2018-03-12,1.1831852264521057
2018-03-13,1.168727170691823
2018-03-14,1.17746581730327
2018-03-15,1.1806425337682596
2018-03-16,1.1773380434738805
2018-03-19,1.1672099167177137
2018-03-20,1.1948887447037142
2018-03-21,1.1821744901989897
2018-03-22,1.1597234428446461
2018-03-23,1.141384796420412
2018-03-26,1.1376810141601437
2018-03-27,1.1226087379684913
2018-03-28,1.1154805122579405
2018-03-29,1.1154805122579405
2018-04-02,1.0933429964839125
2018-04-03,1.1066146883820065
2018-04-04,1.116103518146549
2018-04-05,1.1303549475685868
2018-04-06,1.1135208089841093
2018-04-09,1.1104973527532578
2018-04-10,1.1227119901140359
2018-04-11,1.1215997101948618
2018-04-12,1.1401178599539787
2018-04-13,1.128354406731097
2018-04-16,1.135265756964817
2018-04-17,1.148954200520396
2018-04-18,1.1504040015856716
2018-04-19,1.1384580211460453
2018-04-20,1.1329516316732768
2018-04-23,1.1297816931734208
2018-04-24,1.1310644536858256
2018-04-25,1.1293822304776442
2018-04-26,1.1477935906885368
2018-04-27,1.143282551655916
2018-04-30,1.1343617805132715
2018-05-01,1.1506949487201434
2018-05-02,1.146423019566921
2018-05-03,1.1411129509160185
2018-05-04,1.1506307763543058
2018-05-07,1.1600350850385133
2018-05-08,1.167528612840543
2018-05-09,1.180761226184098
2018-05-10,1.1848546491676877
2018-05-11,1.1767837915034631
2018-05-14,1.175231125120057
2018-05-15,1.1705708493566336
2018-05-16,1.1726190535349308
2018-05-17,1.174374652876033
2018-05-18,1.166393017713435
2018-05-21,1.1807378940765725
2018-05-22,1.1781234166275119
2018-05-23,1.1884777646353477
2018-05-24,1.188034302848267
2018-05-25,1.1938675104051657
2018-05-29,1.1906592099598123
2018-05-30,1.196409678216712
2018-05-31,1.1900544826042236
2018-06-01,1.207060913484219
2018-06-04,1.2033214676203547
2018-06-05,1.1943247317933494
2018-06-06,1.1970307576804506
2018-06-07,1.181088618216348
2018-06-08,1.174332967424152
2018-06-11,1.1948487010608981
2018-06-12,1.203020352085515
2018-06-13,1.227171755056117
2018-06-14,1.2279804048788376
2018-06-15,1.22877789471542
2018-06-18,1.2568764864076334
2018-06-19,1.2368218108045732
2018-06-20,1.2287044399396583
2018-06-21,1.187162579378174
2018-06-22,1.1943249895433832
2018-06-25,1.129623217448021
2018-06-26,1.1377265902218061
2018-06-27,1.1328352219553695
2018-06-28,1.135568951326815
2018-06-29,1.133400448667846
2018-07-02,1.1051076911908762
2018-07-03,1.0803797945507527
2018-07-05,1.0846570491668108
2018-07-06,1.0900158288051722
2018-07-09,1.0896151276606991
2018-07-10,1.0846863492368581
2018-07-11,1.0717982571868996
2018-07-12,1.0840476381171738
2018-07-13,1.0593795858907586
2018-07-16,1.0780092957086032
2018-07-17,1.0790222020856708
2018-07-18,1.0779843571904943
2018-07-19,1.0707195418985962
2018-07-20,1.059822467422254
2018-07-23,1.0623999288068875
2018-07-24,1.0324058924048316
2018-07-25,1.0316723831611874
2018-07-26,1.150335525443582
2018-07-27,1.1759615292537673
2018-07-30,1.1947028665599395
2018-07-31,1.1379564002718374
2018-08-01,1.1474995225627076
2018-08-02,1.159026224238169
2018-08-03,1.1434588477335328
2018-08-06,1.1903918613655893
2018-08-07,1.1977774441188798
2018-08-08,1.1887840412465764
2018-08-09,1.1638763576083626
2018-08-10,1.1618006678180097
2018-08-13,1.1943743748447706
2018-08-14,1.2127534122137278
2018-08-15,1.1946860794573433
2018-08-16,1.1765423821453356
2018-08-17,1.201215774570291
2018-08-20,1.2127897971261936
2018-08-21,1.234556961345564
2018-08-22,1.2644558641845305
2018-08-23,1.341458535246267
2018-08-24,1.434515788307602
2018-08-27,1.5025339645353737
2018-08-28,1.4944528975747249
2018-08-29,1.5023720331936499
2018-08-30,1.4816283281486378
2018-08-31,1.5009506430715078
2018-09-04,1.6554919419513658
2018-09-05,1.674483409936076
2018-09-06,1.657614906618648
2018-09-07,1.6372380234708648
2018-09-10,1.7765827724274041
2018-09-11,1.791460383232494
2018-09-12,1.8932874097809251
2018-09-13,1.8015121236193892
2018-09-14,1.9198873369568628
2018-09-17,1.9037286987919197
2018-09-18,1.883144587479713
2018-09-19,1.844266605960661
2018-09-20,1.8404895487176267
2018-09-21,1.8298041377020091
2018-09-24,1.9148833207949407
2018-09-25,1.917573351269163
2018-09-26,1.8960675413118864
2018-09-27,1.908754833778642
2018-09-28,1.8237351929372596
2018-10-01,1.843953520866521
2018-10-02,1.7087286940452684
2018-10-03,1.6555299326156985
2018-10-04,1.6555299326156985
2018-10-05,1.6555299326156985
2018-10-08,1.6532534042896887
2018-10-09,1.6586386667338888
2018-10-10,1.6220619386915824
2018-10-11,1.6220619386915824
2018-10-12,1.6220619386915824
2018-10-15,1.624795597024611
2018-10-16,1.6324209209920186
