Date,Value
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0193069816169071
2018-01-09,1.0145221244074034
2018-01-10,1.0174173973635758
2018-01-11,1.0211812661577055
2018-01-12,1.0218670095042373
2018-01-16,1.0178745750958256
2018-01-17,1.0187888840566393
2018-01-18,1.0209679537522707
2018-01-19,1.0261946889814912
2018-01-22,1.0368005520173487
2018-01-23,1.0416158691408612
2018-01-24,1.0418749411728379
2018-01-25,1.0486712222917092
2018-01-26,1.0818907580063537
2018-01-29,1.094706197155537
2018-01-30,1.0887632586657758
2018-01-31,1.0898756733268624
2018-02-01,1.0771669136322393
2018-02-02,1.0613647752811706
2018-02-05,1.0435296089292883
2018-02-06,1.0544647222410815
2018-02-07,1.0533578412699702
2018-02-08,1.0395601399016443
2018-02-09,1.038958997501766
2018-02-12,1.0621205236583964
2018-02-13,1.0563199499704274
2018-02-14,1.101045954294766
2018-02-15,1.1159290372199262
2018-02-16,1.1128950959697175
2018-02-20,1.129974824478921
2018-02-21,1.1002622168221237
2018-02-22,1.10165226463086
2018-02-23,1.1182443522038326
2018-02-26,1.1237264898691222
2018-02-27,1.1248535727891704
2018-02-28,1.127374619321297
2018-03-01,1.1220129142983777
2018-03-02,1.1318598790534051
2018-03-05,1.153420432924643
2018-03-06,1.170382523588751
2018-03-07,1.173556288191651
2018-03-08,1.1817012333031838
2018-03-09,1.2011635715371982
2018-03-12,1.1882076651037474
2018-03-13,1.1738445317451007
2018-03-14,1.182275327704974
2018-03-15,1.1856039087308412
2018-03-16,1.1824677176028358
2018-03-19,1.1725288292449898
2018-03-20,1.20069095173054
2018-03-21,1.1876682139310428
2018-03-22,1.165507230885822
2018-03-23,1.1472246657867347
2018-03-26,1.1431831790113371
2018-03-27,1.1282995586447535
2018-03-28,1.121260555111769
2018-03-29,1.121260555111769
2018-04-02,1.1215409211435414
2018-04-03,1.1281297902789627
2018-04-04,1.1357155738553095
2018-04-05,1.1468683591921964
2018-04-06,1.1428807727321626
2018-04-09,1.1319208584317682
2018-04-10,1.1404479704773798
2018-04-11,1.138993295803348
2018-04-12,1.1507916232151516
2018-04-13,1.1404222877034869
2018-04-16,1.147676783914945
2018-04-17,1.1610277633214967
2018-04-18,1.161801008599587
2018-04-19,1.154451340894048
2018-04-20,1.1499821276468403
2018-04-23,1.1504082814075212
2018-04-24,1.1346934907672293
2018-04-25,1.1324829955984868
2018-04-26,1.1461745708329911
2018-04-27,1.144223972904955
2018-04-30,1.1437131165361456
2018-05-01,1.150959080924204
2018-05-02,1.149268831826087
2018-05-03,1.1536325164829382
2018-05-04,1.16135428997128
2018-05-07,1.1710457854935532
2018-05-08,1.1829443418877017
2018-05-09,1.2003333193470975
2018-05-10,1.201905629960936
2018-05-11,1.197723973829148
2018-05-14,1.187575508593933
2018-05-15,1.187527276183422
2018-05-16,1.1852047345225156
2018-05-17,1.184546898288771
2018-05-18,1.1896106991730386
2018-05-21,1.1973402100191983
2018-05-22,1.1949668208826631
2018-05-23,1.2089389190845174
2018-05-24,1.2146257714402067
2018-05-25,1.2118060944438278
2018-05-29,1.2069456221553216
2018-05-30,1.2197344713354044
2018-05-31,1.2208652230980879
2018-06-01,1.226457053955024
2018-06-04,1.2286220304154716
2018-06-05,1.2208103959334509
2018-06-06,1.2218278708555699
2018-06-07,1.202907823654001
2018-06-08,1.209976862821564
2018-06-11,1.2095756355815679
2018-06-12,1.2126133948536784
2018-06-13,1.2193767398529207
2018-06-14,1.2231405154866426
2018-06-15,1.211142296329761
2018-06-18,1.2185360954663391
2018-06-19,1.2109894492456008
2018-06-20,1.210034176834049
2018-06-21,1.2054297568137455
2018-06-22,1.1957337549551659
2018-06-25,1.1856036447048486
2018-06-26,1.1930578736805244
2018-06-27,1.182927781658157
2018-06-28,1.1894263374480363
2018-06-29,1.183310039995706
2018-07-02,1.155426448676732
2018-07-03,1.1323365633436517
2018-07-05,1.1418932587457211
2018-07-06,1.1583307865031685
2018-07-09,1.1692488240727048
2018-07-10,1.1613117069316101
2018-07-11,1.1620997482603794
2018-07-12,1.1571724820177305
2018-07-13,1.115645189017985
2018-07-16,1.131084844493922
2018-07-17,1.0898943890184523
2018-07-18,1.0895121124529537
2018-07-19,1.0868362129503624
2018-07-20,1.0828224183803252
2018-07-23,1.0858805579925153
2018-07-24,1.076897277438694
2018-07-25,1.0742213779361027
2018-07-26,1.1181821986591616
2018-07-27,1.1294591021500755
2018-07-30,1.1348973210362745
2018-07-31,1.1266197529201625
2018-08-01,1.131079224505459
2018-08-02,1.1395768669673356
2018-08-03,1.1377014970384853
2018-08-06,1.1576893658564495
2018-08-07,1.1583978606839738
2018-08-08,1.1570652457716712
2018-08-09,1.1474007727096804
2018-08-10,1.1450437493228274
2018-08-13,1.1579721438417816
2018-08-14,1.1671287577735039
2018-08-15,1.1625436955781252
2018-08-16,1.1559617507548305
2018-08-17,1.1662091076689878
2018-08-20,1.1708353776863907
2018-08-21,1.1812517370767361
2018-08-22,1.192584690825811
2018-08-23,1.2192749205190467
2018-08-24,1.2533527262556237
2018-08-27,1.278981520455747
2018-08-28,1.289912567643403
2018-08-29,1.2892270887347324
2018-08-30,1.2768094670388952
2018-08-31,1.285652493055335
2018-09-04,1.3525715916511776
2018-09-05,1.366797161353277
2018-09-06,1.3507153620748413
2018-09-07,1.3420467125827313
2018-09-10,1.4020120163701524
2018-09-11,1.4072000853919644
2018-09-12,1.4428319938775473
2018-09-13,1.4274424779783852
2018-09-14,1.4732232242492447
2018-09-17,1.456246027870341
2018-09-18,1.4558369166408243
2018-09-19,1.43799603135264
2018-09-20,1.4407602719697368
2018-09-21,1.4321394529488634
2018-09-24,1.4617880036229944
2018-09-25,1.4558317565361245
2018-09-26,1.442511510340067
2018-09-27,1.4498478454545876
2018-09-28,1.4193329547923568
2018-10-01,1.4329860347255867
2018-10-02,1.3917493755587782
2018-10-03,1.3677660096310604
2018-10-04,1.3661591352072942
2018-10-05,1.3577996551009908
2018-10-08,1.3601827207629982
2018-10-09,1.3649182883840474
2018-10-10,1.348863133327969
2018-10-11,1.348863133327969
2018-10-12,1.348863133327969
2018-10-15,1.3511363701610284
2018-10-16,1.3574776564478408
