variant,max_positions,risk_config,risk_policy,extension_policy,rank_policy,entry_limit,entry_decision,entry_system,min_drop,profit_target,max_hold_days,universe_size,loaded_tickers,data_errors,stop_policy,initial_stop_policy,exit_policy,max_open_gap,max_atr_pct,breakeven_atr_trigger,adaptive_trail,sector_limit,rotation_policy,rotation_buffer_rank,rotation_confirm_weeks,start,end,final,cagr,maxdd,calmar,trades,round_trips,win_rate,avg_trade,risk_events
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,weekly_top4_buffer,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,turbo,turbo,sma50,none,0.1,none,False,False,top4_buffer,4,1,2018-01-02,2026-05-27,31.884746563463487,0.5102963449197007,-0.2665062303820679,1.9147632841008297,506,251,0.5418326693227091,0.03685643010848078,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,profit_target_50,strategy_idea,n/a,0.5,n/a,n/a,n/a,n/a,turbo,turbo,sma50,none,none,none,False,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,26.12603838145887,0.47489036493393777,-0.3056162306128888,1.5538780907728078,313,156,0.44871794871794873,0.05142663820583587,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,exit_sma20,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,turbo,turbo,sma20,none,none,none,False,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,21.978929942199,0.4448407564823176,-0.3084812614088517,1.4420349373919967,448,223,0.452914798206278,0.03454870971827968,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,atr_cap_10pct_tight_recommended_stops,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,tight_recommended,tight_recommended,sma50,none,0.1,none,False,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,20.970631528679355,0.4367828407190688,-0.22949374023349978,1.9032451180352958,385,190,0.46842105263157896,0.044768626848885114,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,profit_lock_25_10,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,turbo,turbo,sma50,none,none,none,False,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,19.45031983725317,0.4239629644332352,-0.30561623061288856,1.38723968809841,332,165,0.4303030303030303,0.04544514356325147,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,sector_limit,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,turbo,turbo,sma50,none,none,none,False,True,hold_unless_broken,none,1,2018-01-02,2026-05-27,17.526003758621677,0.40640560958774996,-0.24849517382056652,1.635466811444827,281,136,0.4338235294117647,0.059067546577222074,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,stop_loose,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,loose,turbo,sma50,none,none,none,False,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,15.197879036681833,0.38273485150660824,-0.3454820427951222,1.1078284949634205,250,124,0.4596774193548387,0.06463548310922838,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,exit_ema21,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,turbo,turbo,ema21,none,none,none,False,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,12.92087919861778,0.35626365465651033,-0.3524236318647519,1.0108960422757123,378,188,0.44148936170212766,0.0332862120259894,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,atr_cap_10pct_adaptive_trail,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,turbo,turbo,sma50,none,0.1,none,True,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,5.8526817058572025,0.23419714781368417,-0.30302667076679624,0.7728598516462533,447,221,0.5158371040723982,0.022856890981363554,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,stop_tight,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,tight,turbo,sma50,none,none,none,False,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,4.832272897268933,0.20635690077462066,-0.2654482243350239,0.7773903980392661,478,238,0.453781512605042,0.02163717951015497,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,atr_cap_10pct_breakeven_adaptive,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,turbo,turbo,sma50,none,0.1,1.5,True,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,4.56100033213734,0.19808512515622012,-0.37570629865482674,0.5272339746909784,467,231,0.4458874458874459,0.018735201938784828,661
turbo,2,risk_balanced,half_elevated,none,skip_repeat_stretched,none,atr_cap_10pct_all_tight_changes,strategy_idea,n/a,none,n/a,n/a,n/a,n/a,turbo,tight_recommended,sma50,none,0.1,1.5,True,False,hold_unless_broken,none,1,2018-01-02,2026-05-27,4.30127911424516,0.18974898120761274,-0.22823444258156056,0.8313775040320881,509,252,0.4087301587301587,0.018425661331844336,661
