Date,Value
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0243276923826676
2018-01-09,1.0229975781219247
2018-01-10,1.0227144537506065
2018-01-11,1.0309464365883358
2018-01-12,1.0410747821189394
2018-01-16,1.0380034849504494
2018-01-17,1.0676604970853334
2018-01-18,1.0571725170813466
2018-01-19,1.0643339831100045
2018-01-22,1.0869617482833456
2018-01-23,1.0938498577845923
2018-01-24,1.0611633551018347
2018-01-25,1.067959636220706
2018-01-26,1.1011791719353505
2018-01-29,1.1336715049861874
2018-01-30,1.1167632770557483
2018-01-31,1.1017781585935578
2018-02-01,1.0791646500971956
2018-02-02,1.0678319536513459
2018-02-05,1.034116575267087
2018-02-06,1.034116575267087
2018-02-07,1.034116575267087
2018-02-08,1.034116575267087
2018-02-09,1.034116575267087
2018-02-12,1.0654888287340676
2018-02-13,1.0582612731239975
2018-02-14,1.1223382484832165
2018-02-15,1.1532369283399329
2018-02-16,1.147886954696014
2018-02-20,1.1699643283617946
2018-02-21,1.13363877531589
2018-02-22,1.133059474821633
2018-02-23,1.1608599385413871
2018-02-26,1.1746757765174038
2018-02-27,1.173224833985394
2018-02-28,1.177110286787201
2018-03-01,1.1693769515102415
2018-03-02,1.1908178329164358
2018-03-05,1.2300762907399467
2018-03-06,1.2603437902751216
2018-03-07,1.2611179594612656
2018-03-08,1.2682288793922343
2018-03-09,1.3051793224980506
2018-03-12,1.2801499700366312
2018-03-13,1.2571676542577306
2018-03-14,1.2726949645101624
2018-03-15,1.2766161657762596
2018-03-16,1.2704055677792794
2018-03-19,1.253504106847244
2018-03-20,1.2931571286074615
2018-03-21,1.2755075610907436
2018-03-22,1.2388876087050402
2018-03-23,1.210156983697719
2018-03-26,1.2073177428630184
2018-03-27,1.1806276077497628
2018-03-28,1.1680048754621368
2018-03-29,1.1680048754621368
2018-04-02,1.137293045395103
2018-04-03,1.160397770274494
2018-04-04,1.1789134463812836
2018-04-05,1.206554992767463
2018-04-06,1.1802833677690325
2018-04-09,1.1696584483662926
2018-04-10,1.185521605476374
2018-04-11,1.1841525783201994
2018-04-12,1.2137813897473477
2018-04-13,1.194004833014157
2018-04-16,1.2054279050185213
2018-04-17,1.2276539394094395
2018-04-18,1.2302945195180839
2018-04-19,1.213129815193637
2018-04-20,1.2054963301852155
2018-04-23,1.2012870704155576
2018-04-24,1.2019962819680892
2018-04-25,1.198868918568982
2018-04-26,1.2279915148775218
2018-04-27,1.2203522007652097
2018-04-30,1.2079410235197732
2018-05-01,1.2324855994262323
2018-05-02,1.2293015264451568
2018-05-03,1.2183509759373106
2018-05-04,1.2337372597658
2018-05-07,1.250306798621362
2018-05-08,1.2642950446588164
2018-05-09,1.287972380050254
2018-05-10,1.292908310611094
2018-05-11,1.2777680971470031
2018-05-14,1.2732098159632894
2018-05-15,1.2690182443817526
2018-05-16,1.2692168072283814
2018-05-17,1.2719276006017446
2018-05-18,1.2626554471230325
2018-05-21,1.2880373100782638
2018-05-22,1.2818234009534542
2018-05-23,1.2991891677054723
2018-05-24,1.3008741679598246
2018-05-25,1.3091691962586145
2018-05-29,1.3031325445670077
2018-05-30,1.3131295548783577
2018-05-31,1.302547793254481
2018-06-01,1.3274806476101868
2018-06-04,1.321070093473519
2018-06-05,1.3039339964782668
2018-06-06,1.3067598699966472
2018-06-07,1.2799082624212514
2018-06-08,1.2704764886943747
2018-06-11,1.2865025887893538
2018-06-12,1.2949998267262552
2018-06-13,1.3173144506175585
2018-06-14,1.320141869805158
2018-06-15,1.3190717051819487
2018-06-18,1.3396186856422108
2018-06-19,1.321810169457632
2018-06-20,1.3146019586002091
2018-06-21,1.2777128604771846
2018-06-22,1.2840730679356518
2018-06-25,1.2057021579682003
2018-06-26,1.2283286560668705
2018-06-27,1.2146708202656518
2018-06-28,1.2223040273452268
2018-06-29,1.2162490644723776
2018-07-02,1.1832898591311212
2018-07-03,1.1438677126061259
2018-07-05,1.1558108005201924
2018-07-06,1.1707737573880816
2018-07-09,1.183087926830738
2018-07-10,1.1760423567320188
2018-07-11,1.1713996674043141
2018-07-12,1.1731394730753633
2018-07-13,1.1367238539727553
2018-07-16,1.154040111333709
2018-07-17,1.1244048578294041
2018-07-18,1.1237458617805798
2018-07-19,1.1191329522841316
2018-07-20,1.1122136823074429
2018-07-23,1.1014997171232528
2018-07-24,1.0703624573124317
2018-07-25,1.0839864706391245
2018-07-26,1.1578528754752035
2018-07-27,1.1633603406075288
2018-07-30,1.1619579981425394
2018-07-31,1.1255263918532514
2018-08-01,1.1353816230219476
2018-08-02,1.1328644190701038
2018-08-03,1.1229796668737055
2018-08-06,1.1488012168536539
2018-08-07,1.1548710447813515
2018-08-08,1.1275204291082923
2018-08-09,1.1117049010084419
2018-08-10,1.1103869089107934
2018-08-13,1.1263385565358808
2018-08-14,1.1451935725795095
2018-08-15,1.130567056452906
2018-08-16,1.1213245823973066
2018-08-17,1.1409635172320631
2018-08-20,1.149772983414584
2018-08-21,1.1635359622134716
2018-08-22,1.1910492252821023
2018-08-23,1.2504578809059144
2018-08-24,1.3211121066110478
2018-08-27,1.3677477464133145
2018-08-28,1.3686916367296715
2018-08-29,1.3740121065653823
2018-08-30,1.3507932972189716
2018-08-31,1.373401617122786
2018-09-04,1.4814020914019972
2018-09-05,1.4840563200936359
2018-09-06,1.511957247517544
2018-09-07,1.506554071965396
2018-09-10,1.614660432354306
2018-09-11,1.6326940704118744
2018-09-12,1.6808195423744396
2018-09-13,1.6182226816010072
2018-09-14,1.6980016320234892
2018-09-17,1.6853464860697276
2018-09-18,1.6838422835680875
2018-09-19,1.6558849075308726
2018-09-20,1.6486966350551964
2018-09-21,1.6367713224770322
2018-09-24,1.696343036805922
2018-09-25,1.7083320421489123
2018-09-26,1.6908212229307207
2018-09-27,1.6814697860555539
2018-09-28,1.6343781072108285
2018-10-01,1.631502595799036
2018-10-02,1.5225862348443497
2018-10-03,1.488806838956417
2018-10-04,1.488806838956417
2018-10-05,1.488806838956417
2018-10-08,1.487819147346571
2018-10-09,1.4977380721309697
2018-10-10,1.4421445207141281
2018-10-11,1.4421445207141281
2018-10-12,1.4421445207141281
2018-10-15,1.44700540831952
