Date,Ticker,Side,Price,Reason
2018-01-08,FSLR,buy,69.25,turbo_momentum
2018-01-08,MELI,buy,328.1199951171875,turbo_momentum
2018-01-23,FSLR,sell,68.48250389099121,stop
2018-01-29,NFLX,buy,27.420000076293945,turbo_momentum
2018-02-05,MELI,sell,361.5325241088867,stop
2018-02-05,NFLX,sell,25.5145001411438,stop
2018-02-12,NFLX,buy,25.214000701904297,turbo_momentum
2018-02-12,ANET,buy,17.384374618530273,turbo_momentum
2018-02-16,ANET,sell,16.241811990737915,stop
2018-02-20,TWLO,buy,32.86000061035156,turbo_momentum
2018-03-23,NFLX,sell,30.04399871826172,stop
2018-03-26,AXON,buy,38.2599983215332,turbo_momentum
2018-03-27,TWLO,sell,36.56049919128418,stop
2018-04-02,OKTA,buy,39.79999923706055,turbo_momentum
2018-06-07,OKTA,sell,52.31725025177002,stop
2018-06-11,TTD,buy,8.857999801635742,turbo_momentum
2018-07-24,TTD,sell,8.833499670028687,stop
2018-07-27,AXON,sell,68.28999996185303,stop
2018-07-30,AMD,buy,19.399999618530273,turbo_momentum
2018-07-30,XYZ,buy,70.04000091552734,turbo_momentum
2018-09-24,XYZ,sell,82.25925254821777,stop
2018-10-01,ROKU,buy,74.81999969482422,turbo_momentum
2018-10-03,AMD,sell,27.994799499511718,stop
2018-10-04,ROKU,sell,67.34678295680455,stop
2018-10-08,XYZ,buy,92.4000015258789,turbo_momentum
2018-10-08,WBD,buy,32.9900016784668,turbo_momentum
2018-10-10,XYZ,sell,81.31200134277344,stop
2018-10-11,WBD,sell,31.193571840013778,stop
2018-10-15,SBUX,buy,47.87229852788284,turbo_momentum
2018-10-22,WBD,buy,33.470001220703125,turbo_momentum
2018-10-24,WBD,sell,31.08071599687849,stop
2018-10-29,SBUX,sell,49.83407753799843,weekly_rotation
2019-02-19,MDB,buy,100.4000015258789,turbo_momentum
2019-02-19,OKTA,buy,84.7699966430664,turbo_momentum
2019-02-26,MDB,sell,97.54924774169922,stop
2019-03-04,SE,buy,21.399999618530273,turbo_momentum
2019-03-04,OKTA,sell,79.2440013885498,stop
2019-03-18,ZS,buy,67.38999938964844,turbo_momentum
2019-04-04,SE,sell,22.01124858856201,stop
2019-04-04,ZS,sell,62.26175117492676,stop
2019-04-08,MDB,buy,134.8300018310547,turbo_momentum
2019-04-08,ALGN,buy,295.54998779296875,turbo_momentum
2019-04-18,MDB,sell,124.52175903320312,stop
2019-04-22,QCOM,buy,67.74740532972739,turbo_momentum
2019-05-17,QCOM,sell,68.93549966928843,stop
2019-05-20,ROKU,buy,83.80999755859375,turbo_momentum
2019-05-29,ALGN,sell,300.0075149536133,stop
2019-06-03,ROKU,sell,90.7699966430664,weekly_rotation
2019-06-10,ENPH,buy,16.780000686645508,turbo_momentum
2019-06-10,MDB,buy,172.26499938964844,turbo_momentum
2019-06-25,ENPH,sell,16.364998817443848,stop
2019-06-26,MDB,sell,153.30225372314453,stop
2019-07-01,ENPH,buy,18.799999237060547,turbo_momentum
2019-07-01,SE,buy,33.900001525878906,turbo_momentum
2019-08-05,SE,sell,33.935500144958496,stop
2019-08-12,SEDG,buy,81.11000061035156,turbo_momentum
2019-08-30,ENPH,sell,29.044398498535156,stop
2019-09-03,ROKU,buy,150.86000061035156,turbo_momentum
2019-09-09,SEDG,sell,76.07125091552734,stop
2019-09-10,ROKU,sell,151.52875900268555,stop
2019-09-16,WDC,buy,46.54271860920793,turbo_momentum
2019-09-16,MU,buy,48.30597144770239,turbo_momentum
2019-09-27,MU,sell,45.35572726674057,stop
2019-09-30,DOCU,buy,60.619998931884766,turbo_momentum
2019-10-01,WDC,sell,42.912192618726074,stop
2019-10-07,SEDG,buy,86.08999633789062,turbo_momentum
2019-10-30,SEDG,sell,83.82899856567383,stop
2019-11-04,ALGN,buy,258.25,turbo_momentum
2019-12-03,DOCU,sell,67.09975242614746,stop
2019-12-09,AXON,buy,71.88999938964844,turbo_momentum
2019-12-13,ALGN,sell,263.7000312805176,stop
2019-12-16,TSLA,buy,24.170000076293945,turbo_momentum
2020-01-03,AXON,sell,70.63749694824219,stop
2020-01-06,NIO,buy,4.190000057220459,turbo_momentum
2020-01-06,NIO,sell,3.687200050354004,stop
2020-01-13,NIO,buy,3.7100000381469727,turbo_momentum
2020-01-23,NIO,sell,4.6330000782012934,stop
2020-01-27,NIO,buy,3.990000009536743,turbo_momentum
2020-02-03,NIO,sell,3.5916000938415524,stop
2020-02-05,TSLA,sell,53.37417030334473,stop
2020-02-10,TSLA,buy,53.33333206176758,turbo_momentum
2020-02-10,ENPH,buy,37.869998931884766,turbo_momentum
2020-02-27,TSLA,sell,51.647972640991206,stop
2020-02-27,ENPH,sell,48.5030012512207,stop
2020-03-02,ENPH,buy,50.459999084472656,turbo_momentum
2020-03-02,ZM,buy,109.3499984741211,turbo_momentum
2020-03-09,ENPH,sell,45.77000045776367,weekly_rotation
2020-03-09,ZM,sell,105.0,weekly_rotation
2020-04-13,CHWY,buy,42.0,turbo_momentum
2020-04-13,ZS,buy,64.01000213623047,turbo_momentum
2020-05-04,CHWY,sell,38.990999374389645,stop
2020-05-11,TWLO,buy,179.97999572753906,turbo_momentum
2020-08-07,TWLO,sell,243.19426345825195,stop
2020-08-10,MARA,buy,4.900000095367432,turbo_momentum
2020-08-10,ZS,sell,119.02600479125977,stop
2020-08-11,MARA,sell,4.31200008392334,stop
2020-08-17,MARA,buy,4.039999961853027,turbo_momentum
2020-08-17,NIO,buy,13.069999694824219,turbo_momentum
2020-08-17,MARA,sell,3.555199966430664,stop
2020-08-24,TSLA,buy,141.7519989013672,turbo_momentum
2020-08-31,NIO,sell,17.195399436950684,stop
2020-09-02,TSLA,sell,137.34727233886719,stop
2020-09-08,NIO,buy,17.170000076293945,turbo_momentum
2020-09-08,TSLA,buy,118.66666412353516,turbo_momentum
2020-09-23,TSLA,sell,126.26359649658202,stop
2020-09-28,GME,buy,2.5399999618530273,turbo_momentum
2020-10-08,GME,sell,2.7962000703811642,stop
2020-10-12,GME,buy,2.9149999618530273,turbo_momentum
2020-10-15,GME,sell,3.095500078201294,stop
2020-10-19,GME,buy,3.359999895095825,turbo_momentum
2020-10-27,GME,sell,3.2533499765396114,stop
2020-11-02,PINS,buy,59.0,turbo_momentum
2020-11-10,PINS,sell,53.68540100097656,stop
2020-11-13,NIO,sell,44.44400062561035,stop
2020-11-16,NIO,buy,41.119998931884766,turbo_momentum
2020-11-16,PINS,buy,61.47999954223633,turbo_momentum
2020-12-01,NIO,sell,46.90400062561035,stop
2020-12-07,MARA,buy,5.400000095367432,turbo_momentum
2020-12-09,MARA,sell,4.952799968719482,stop
2020-12-14,MARA,buy,5.320000171661377,turbo_momentum
2020-12-15,MARA,sell,5.871199874877929,stop
2020-12-21,MARA,buy,9.109999656677246,turbo_momentum
2020-12-21,MARA,sell,9.471000156402587,stop
2020-12-28,MARA,buy,14.0,turbo_momentum
2020-12-28,MARA,sell,12.32,stop
2021-01-04,MARA,buy,12.479999542236328,turbo_momentum
2021-01-04,PINS,sell,65.00574493408203,stop
2021-01-04,MARA,sell,10.98239959716797,stop
2021-01-11,MARA,buy,20.0,turbo_momentum
2021-01-11,CELH,buy,19.366666793823242,turbo_momentum
2021-01-11,MARA,sell,20.860800437927246,stop
2021-01-19,MARA,buy,23.81999969482422,turbo_momentum
2021-01-20,MARA,sell,20.96159973144531,stop
2021-01-25,GME,buy,24.1825008392334,turbo_momentum
2021-01-25,GME,sell,32.63189849853516,stop
2021-01-27,CELH,sell,19.313733291625976,stop
2021-02-01,GME,buy,79.13999938964844,turbo_momentum
2021-02-01,MARA,buy,20.579999923706055,turbo_momentum
2021-02-01,GME,sell,69.64319946289062,stop
2021-02-08,FUTU,buy,114.38515720550413,turbo_momentum
2021-02-08,MARA,sell,26.297399749755858,stop
2021-02-10,FUTU,sell,161.04403480267044,stop
2021-02-16,MARA,buy,41.959999084472656,turbo_momentum
2021-02-16,FUTU,buy,153.35650763831816,turbo_momentum
2021-02-16,FUTU,sell,152.86765771553075,stop
2021-02-22,FUTU,buy,174.3758431852049,turbo_momentum
2021-02-22,MARA,sell,40.51619987487793,stop
2021-02-23,FUTU,sell,153.45074200298032,stop
2021-03-01,FUTU,buy,158.85652943908605,turbo_momentum
2021-03-01,WBD,buy,54.31999969482422,turbo_momentum
2021-03-03,FUTU,sell,139.7937459063957,stop
2021-03-08,GME,buy,38.72249984741211,turbo_momentum
2021-03-08,GME,sell,43.22834899902343,stop
2021-03-15,GME,buy,69.37999725341797,turbo_momentum
2021-03-15,GME,sell,61.05439758300781,stop
2021-03-22,GME,buy,51.314998626708984,turbo_momentum
2021-03-23,GME,sell,45.15719879150391,stop
