Date,Ticker,Side,Price,Reason
2018-01-25,TXN,buy,87.56168609409514,dip_5pct_quick_bounce
2018-02-05,AMD,buy,12.050000190734863,dip_5pct_quick_bounce
2018-02-05,TXN,sell,82.76477813720703,sma50_exit
2018-02-06,SHOP,buy,11.380999565124512,dip_5pct_quick_bounce
2018-02-07,SHOP,sell,12.519099521636964,profit_target
2018-02-08,AMD,sell,11.220000267028809,sma50_exit
2018-02-09,NFLX,buy,25.385000228881836,dip_5pct_quick_bounce
2018-02-15,NFLX,sell,27.923500251770022,profit_target
2018-02-22,SHOP,buy,13.395999908447266,dip_5pct_quick_bounce
2018-03-08,SHOP,sell,14.735599899291993,profit_target
2018-03-26,MU,buy,54.8696602411908,dip_5pct_quick_bounce
2018-03-26,LRCX,buy,18.823406182325147,dip_5pct_quick_bounce
2018-03-28,LRCX,sell,17.533065795898438,sma50_exit
2018-04-04,MU,sell,48.285301012247906,stop
2018-06-01,MU,buy,57.35663802724518,dip_5pct_quick_bounce
2018-06-21,MU,sell,57.9710693359375,max_hold
2018-06-22,AMD,buy,15.779999732971191,dip_5pct_quick_bounce
2018-06-26,NFLX,buy,39.327999114990234,dip_5pct_quick_bounce
2018-07-12,AMD,sell,16.559999465942383,max_hold
2018-07-16,NFLX,sell,40.04800033569336,max_hold
2018-07-30,SHOP,buy,15.979999542236328,dip_5pct_quick_bounce
2018-07-30,SHOP,sell,14.807999610900879,sma50_exit
2018-08-01,AMD,buy,18.34000015258789,dip_5pct_quick_bounce
2018-08-14,AMD,sell,20.174000167846682,profit_target
2018-08-31,MELI,buy,338.44000244140625,dip_5pct_quick_bounce
2018-09-05,MELI,sell,328.0,sma50_exit
2018-09-14,AMD,buy,31.43000030517578,dip_5pct_quick_bounce
2018-10-03,AMD,sell,27.658400268554686,stop
2019-02-27,MDB,buy,97.19000244140625,dip_5pct_quick_bounce
2019-03-04,MDB,sell,106.90900268554688,profit_target
2019-03-05,MDB,buy,96.79000091552734,dip_5pct_quick_bounce
2019-03-13,MDB,sell,106.46900100708008,profit_target
2019-03-25,ZS,buy,65.55000305175781,dip_5pct_quick_bounce
2019-03-25,AMD,buy,26.290000915527344,dip_5pct_quick_bounce
2019-03-26,ZS,sell,72.1050033569336,profit_target
2019-04-03,AMD,sell,28.91900100708008,profit_target
2019-04-05,ZS,buy,63.5,dip_5pct_quick_bounce
2019-04-05,SHOP,buy,19.55900001525879,dip_5pct_quick_bounce
2019-04-15,SHOP,sell,21.51490001678467,profit_target
2019-04-25,ZS,sell,66.95999908447266,max_hold
2019-05-14,ZS,buy,69.97000122070312,dip_5pct_quick_bounce
2019-05-16,ZS,sell,76.96700134277344,profit_target
2019-06-12,MDB,buy,163.6999969482422,dip_5pct_quick_bounce
2019-06-26,SHOP,buy,28.902000427246094,dip_5pct_quick_bounce
2019-06-27,MDB,sell,149.69200134277344,stop
2019-07-03,SHOP,sell,31.792200469970705,profit_target
