variant,max_positions,risk_config,risk_policy,extension_policy,entry_limit,entry_decision,entry_system,min_drop,profit_target,max_hold_days,start,end,final,cagr,maxdd,calmar,trades,round_trips,win_rate,avg_trade,risk_events
turbo,2,risk_balanced,half_elevated,none,none,turbo_full_two_baseline,momentum,n/a,n/a,n/a,2018-01-02,2026-05-06,43.59425701511874,0.572483848096712,-0.3577908231656016,1.6000517929207505,282,140,0.4357142857142857,0.05411634409536569,661
dip,2,risk_balanced,half_elevated,none,2,dip_3pct_ride_trend,dip,0.03,,,2018-01-02,2026-05-06,14.458557824220598,0.37756519865072136,-0.34892607463207104,1.0820779130618117,306,152,0.4407894736842105,0.046078541400875396,0
dip,2,risk_balanced,half_elevated,none,2,dip_5pct_ride_trend,dip,0.05,,,2018-01-02,2026-05-06,9.651369705590612,0.31239147139825674,-0.29833632180540137,1.0471117613430363,220,109,0.41284403669724773,0.06720609152061408,0
dip,2,risk_balanced,half_elevated,none,2,dip_5pct_quick_bounce,dip,0.05,0.1,20,2018-01-02,2026-05-06,5.137413128554041,0.21681999626007786,-0.2423779741089246,0.8945532161376967,324,162,0.6111111111111112,0.022766374993030136,0
dip,2,risk_balanced,half_elevated,none,1,dip_5pct_top_one_quick,dip,0.05,0.1,20,2018-01-02,2026-05-06,4.842465742625844,0.20822345395062047,-0.17953851682657984,1.1597703803677293,302,151,0.609271523178808,0.02238778864052478,0
dip,2,risk_balanced,half_elevated,none,1,dip_3pct_top_one_quick,dip,0.03,0.08,15,2018-01-02,2026-05-06,3.366186921669658,0.15667103812985106,-0.2526443206599379,0.6201249160108057,622,311,0.5787781350482315,0.009841104925191918,0
dip,2,risk_balanced,half_elevated,none,2,dip_3pct_quick_bounce,dip,0.03,0.08,15,2018-01-02,2026-05-06,2.9864896913332095,0.14018993701489646,-0.2415539208946127,0.580367052191464,660,330,0.5727272727272728,0.008624757996097665,0
